Keyword status,Keyword,Campaign,Ad group,Currency code,Status,Policy details,Final URL,Mobile final URL,Impr.,CTR,Cost,Clicks,Conv. rate,Conversions,Avg. CPC,Cost / conv.,Data Range
Enabled,[cuenta digital banco santander],cuenta-digital_brand,Cuenta_Digital_brand_exa,MXN,Low search volume,Approved,,,0,0,0,0,0,0,0,0,"January 5, 2020 - January 11, 2020"
Enabled,[cuenta superdigital santander],cuenta-digital_brand,Cuenta_Digital_brand_exa,MXN,Eligible,Approved,,,8,0.375,1.68,3,1.3333,4,0.56,0.42,"January 5, 2020 - January 11, 2020"
Enabled, +cuenta +bancaria para jovenes,cuenta-digital_brand,Cuenta_bancaria_joven_bro,MXN,Eligible,Approved,,,32,0.1563,15.72,5,0.2,1,3.14,15.72,"January 5, 2020 - January 11, 2020"
Enabled, +cuenta +joven banco santander,cuenta-digital_brand,Cuenta_bancaria_joven_bro,MXN,Eligible,Approved,,,2,0.5,2.11,1,0,0,2.11,0,"January 5, 2020 - January 11, 2020"
Enabled, +primera +cuenta +bancaria,cuenta-digital_brand,primera_cuenta_bro,MXN,Eligible,Approved,,,4,0,0,0,0,0,0,0,"January 5, 2020 - January 11, 2020"
Enabled,[cuenta joven],cuenta-digital_brand,Cuenta_bancaria_joven_exa,MXN,Eligible,Approved,,,1,0,0,0,0,0,0,0,"January 5, 2020 - January 11, 2020"
Enabled,[cuenta joven santander],cuenta-digital_brand,Cuenta_bancaria_joven_exa,MXN,Eligible,Approved,,,3,0,0,0,0,0,0,0,"January 5, 2020 - January 11, 2020"
Enabled,[como obtener cuenta bancaria],cuenta-digital_brand,primera_cuenta_exa,MXN,Eligible,Approved,,,4,0,0,0,0,0,0,0,"January 5, 2020 - January 11, 2020"
Enabled, +cuenta +superdigital,cuenta-digital_brand,Cuenta_Digital_brand_bro,MXN,Eligible,Approved,,,2,0,0,0,0,0,0,0,"January 5, 2020 - January 11, 2020"
Enabled, +cuenta bancaria +superdigital,cuenta-digital_brand,Cuenta_Digital_brand_bro,MXN,Low search volume,Approved,,,0,0,0,0,0,0,0,0,"January 5, 2020 - January 11, 2020"
Enabled,[cuenta bancaria digital],cuenta-digital_brand,Cuenta_Digital_brand_exa,MXN,Eligible,Approved,,,12,0.0833,3.42,1,0,0,3.42,0,"January 5, 2020 - January 11, 2020"
Enabled,[cuenta digital santander],cuenta-digital_brand,Cuenta_Digital_brand_exa,MXN,Eligible,Approved,,,109,0.4862,50.25,53,0.3396,18,0.95,2.79,"January 5, 2020 - January 11, 2020"
Enabled, +cuenta +juvenil santander,cuenta-digital_brand,Cuenta_bancaria_joven_bro,MXN,Low search volume,Approved,,,0,0,0,0,0,0,0,0,"January 5, 2020 - January 11, 2020"
Enabled, +como +sacar +cuenta +bancaria,cuenta-digital_brand,primera_cuenta_bro,MXN,Eligible,Approved,,,65,0.0615,12.14,4,0,0,3.04,0,"January 5, 2020 - January 11, 2020"
Enabled,[como tener cuenta bancaria],cuenta-digital_brand,primera_cuenta_exa,MXN,Eligible,Approved,,,14,0,0,0,0,0,0,0,"January 5, 2020 - January 11, 2020"
Enabled,[como sacar cuenta bancaria],cuenta-digital_brand,primera_cuenta_exa,MXN,Eligible,Approved,,,51,0.0392,6.57,2,0,0,3.29,0,"January 5, 2020 - January 11, 2020"
Enabled,super cuenta digital santander,cuenta-digital_brand,Cuenta_Digital_brand_bro,MXN,Eligible,Approved,,,332,0.4217,113.58,140,0.35,49,0.81,2.32,"January 5, 2020 - January 11, 2020"
Enabled,cuenta digital santander com mx,cuenta-digital_brand,Cuenta_Digital_brand_bro,MXN,Eligible,Approved,,,23,0.3478,17.42,8,0,0,2.18,0,"January 5, 2020 - January 11, 2020"
Enabled,cuentadigital santander com mx,cuenta-digital_brand,Cuenta_Digital_brand_bro,MXN,Eligible,Approved,,,2,1.5,0.24,3,0,0,0.08,0,"January 5, 2020 - January 11, 2020"
Enabled,[cuenta digital],cuenta-digital_brand,Cuenta_Digital_brand_exa,MXN,Eligible,Approved,,,101,0.1188,28.97,12,0.3333,4,2.41,7.24,"January 5, 2020 - January 11, 2020"
Enabled, +cuenta +joven,cuenta-digital_brand,Cuenta_bancaria_joven_bro,MXN,Eligible,Approved,,,14,0.2143,9.48,3,0,0,3.16,0,"January 5, 2020 - January 11, 2020"
Enabled, +cuenta joven +santander,cuenta-digital_brand,Cuenta_bancaria_joven_bro,MXN,Eligible,Approved,,,1035,0.2483,275.98,257,0.0817,21,1.07,13.14,"January 5, 2020 - January 11, 2020"
Enabled,[cuenta bancaria para jovenes],cuenta-digital_brand,Cuenta_bancaria_joven_exa,MXN,Eligible,Approved,,,5,0,0,0,0,0,0,0,"January 5, 2020 - January 11, 2020"
Enabled,[cuenta juvenil santander],cuenta-digital_brand,Cuenta_bancaria_joven_exa,MXN,Low search volume,Approved,,,0,0,0,0,0,0,0,0,"January 5, 2020 - January 11, 2020"
Enabled, +cuenta +digital santander,cuenta-digital_brand,Cuenta_Digital_brand_bro,MXN,Eligible,Approved,,,159,0.2956,62.97,47,0.1702,8,1.34,7.87,"January 5, 2020 - January 11, 2020"
Enabled,[cuenta superdigital],cuenta-digital_brand,Cuenta_Digital_brand_exa,MXN,Eligible,Approved,,,1,0,0,0,0,0,0,0,"January 5, 2020 - January 11, 2020"
Enabled,[cuenta joven banco santander],cuenta-digital_brand,Cuenta_bancaria_joven_exa,MXN,Eligible,Approved,,,1,0,0,0,0,0,0,0,"January 5, 2020 - January 11, 2020"
Enabled,[cuenta bancaria joven],cuenta-digital_brand,Cuenta_bancaria_joven_exa,MXN,Eligible,Approved,,,0,0,0,0,0,0,0,0,"January 5, 2020 - January 11, 2020"
Enabled, +cuenta +digital,cuenta-digital_brand,Cuenta_Digital_brand_bro,MXN,Eligible,Approved,,,693,0.088,152.59,61,0.1311,8,2.5,19.07,"January 5, 2020 - January 11, 2020"
Enabled,super cuenta digital,cuenta-digital_brand,Cuenta_Digital_brand_bro,MXN,Eligible,Approved,,,305,0.3639,96.17,111,0.7748,86,0.87,1.12,"January 5, 2020 - January 11, 2020"
Enabled, +cuenta +bancaria +digital,cuenta-digital_brand,Cuenta_Digital_brand_bro,MXN,Eligible,Approved,,,37,0.2162,24.21,8,0,0,3.03,0,"January 5, 2020 - January 11, 2020"
Enabled, +cuenta +digital banco santander,cuenta-digital_brand,Cuenta_Digital_brand_bro,MXN,Low search volume,Approved,,,11,0.1818,5.73,2,0,0,2.87,0,"January 5, 2020 - January 11, 2020"
Enabled, +cuenta superdigital +santander,cuenta-digital_brand,Cuenta_Digital_brand_bro,MXN,Eligible,Approved,,,14,0.3571,9.4,5,0.8,4,1.88,2.35,"January 5, 2020 - January 11, 2020"
Enabled,cuenta santander,cuenta-digital_brand,Cuenta_bancaria_joven_bro,MXN,Eligible,Approved,,,59467,0.2056,28168.07,12228,0.0307,376,2.3,74.92,"January 5, 2020 - January 11, 2020"
Enabled, +como +tener +cuenta +bancaria,cuenta-digital_brand,primera_cuenta_bro,MXN,Eligible,Approved,,,35,0,0,0,0,0,0,0,"January 5, 2020 - January 11, 2020"
Enabled,cuenta super digital santander,cuenta-digital_brand,Cuenta_Digital_brand_bro,MXN,Eligible,Approved,,,327,0.419,137.22,137,0.4745,65,1,2.11,"January 5, 2020 - January 11, 2020"
Enabled,cuentadigital santander,cuenta-digital_brand,Cuenta_Digital_brand_bro,MXN,Eligible,Approved,,,23,0.3043,9.44,7,0.2857,2,1.35,4.72,"January 5, 2020 - January 11, 2020"
Enabled,[cuenta bancaria superdigital],cuenta-digital_brand,Cuenta_Digital_brand_exa,MXN,Low search volume,Approved,,,0,0,0,0,0,0,0,0,"January 5, 2020 - January 11, 2020"
Enabled, +cuenta bancaria joven,cuenta-digital_brand,Cuenta_bancaria_joven_bro,MXN,Eligible,Approved,,,91,0.1758,46.47,16,0,0,2.9,0,"January 5, 2020 - January 11, 2020"
Enabled, +como +obtener +cuenta +bancaria,cuenta-digital_brand,primera_cuenta_bro,MXN,Eligible,Approved,,,22,0,0,0,0,0,0,0,"January 5, 2020 - January 11, 2020"
Enabled,[primera cuenta bancaria],cuenta-digital_brand,primera_cuenta_exa,MXN,Eligible,Approved,,,0,0,0,0,0,0,0,0,"January 5, 2020 - January 11, 2020"
