Week,Keyword status,Keyword,Campaign,Ad group,Currency code,Status,Policy details,Final URL,Mobile final URL,Impr.,CTR,Cost,Clicks,Conv. rate,Conversions,Avg. CPC,Cost / conv.
11/4/19,Enabled, +cuenta +bancaria para jovenes,cuenta-digital_brand,Cuenta_bancaria_joven_bro,MXN,Eligible,Approved,,,0,0,0,0,0,0,0,0
11/11/19,Enabled, +cuenta +bancaria para jovenes,cuenta-digital_brand,Cuenta_bancaria_joven_bro,MXN,Eligible,Approved,,,0,0,0,0,0,0,0,0
11/18/19,Enabled, +cuenta +bancaria para jovenes,cuenta-digital_brand,Cuenta_bancaria_joven_bro,MXN,Eligible,Approved,,,115,0.0957,167.21,11,0,0,15.2,0
12/16/19,Enabled, +cuenta +bancaria para jovenes,cuenta-digital_brand,Cuenta_bancaria_joven_bro,MXN,Eligible,Approved,,,35,0.0857,25.99,3,0,0,8.66,0
1/6/20,Enabled, +cuenta +bancaria para jovenes,cuenta-digital_brand,Cuenta_bancaria_joven_bro,MXN,Eligible,Approved,,,38,0.1316,17.49,5,0.2,1,3.5,17.49
11/11/19,Enabled,cuentadigital santander com mx,cuenta-digital_brand,Cuenta_Digital_brand_bro,MXN,Eligible,Approved,,,0,0,0,0,0,0,0,0
11/18/19,Enabled,cuentadigital santander com mx,cuenta-digital_brand,Cuenta_Digital_brand_bro,MXN,Eligible,Approved,,,0,0,0,0,0,0,0,0
12/2/19,Enabled,cuentadigital santander com mx,cuenta-digital_brand,Cuenta_Digital_brand_bro,MXN,Eligible,Approved,,,0,0,0,0,0,0,0,0
12/16/19,Enabled,cuentadigital santander com mx,cuenta-digital_brand,Cuenta_Digital_brand_bro,MXN,Eligible,Approved,,,0,0,0,0,0,0,0,0
1/6/20,Enabled,cuentadigital santander com mx,cuenta-digital_brand,Cuenta_Digital_brand_bro,MXN,Eligible,Approved,,,2,1.5,0.24,3,0,0,0.08,0
1/13/20,Enabled,cuentadigital santander com mx,cuenta-digital_brand,Cuenta_Digital_brand_bro,MXN,Eligible,Approved,,,23,0.3913,15.51,9,0.6667,6,1.72,2.59
11/11/19,Enabled, +cuenta +joven,cuenta-digital_brand,Cuenta_bancaria_joven_bro,MXN,Eligible,Approved,,,0,0,0,0,0,0,0,0
12/16/19,Enabled, +cuenta +joven,cuenta-digital_brand,Cuenta_bancaria_joven_bro,MXN,Eligible,Approved,,,24,0.0833,7.8,2,0,0,3.9,0
10/28/19,Enabled, +cuenta joven +santander,cuenta-digital_brand,Cuenta_bancaria_joven_bro,MXN,Eligible,Approved,,,0,0,0,0,0,0,0,0
11/4/19,Enabled, +cuenta joven +santander,cuenta-digital_brand,Cuenta_bancaria_joven_bro,MXN,Eligible,Approved,,,0,0,0,0,0,0,0,0
11/25/19,Enabled, +cuenta joven +santander,cuenta-digital_brand,Cuenta_bancaria_joven_bro,MXN,Eligible,Approved,,,367,0.248,607.82,91,0.0659,6,6.68,101.3
12/2/19,Enabled, +cuenta joven +santander,cuenta-digital_brand,Cuenta_bancaria_joven_bro,MXN,Eligible,Approved,,,1763,0.2314,1512.69,408,0.0564,23,3.71,65.77
12/9/19,Enabled, +cuenta joven +santander,cuenta-digital_brand,Cuenta_bancaria_joven_bro,MXN,Eligible,Approved,,,1013,0.2596,1383.01,263,0.076,20,5.26,69.15
12/30/19,Enabled, +cuenta joven +santander,cuenta-digital_brand,Cuenta_bancaria_joven_bro,MXN,Eligible,Approved,,,623,0.2632,194.86,164,0.0854,14,1.19,13.92
1/6/20,Enabled, +cuenta joven +santander,cuenta-digital_brand,Cuenta_bancaria_joven_bro,MXN,Eligible,Approved,,,1032,0.2432,281.66,251,0.1195,30,1.12,9.39
1/13/20,Enabled, +cuenta joven +santander,cuenta-digital_brand,Cuenta_bancaria_joven_bro,MXN,Eligible,Approved,,,993,0.2709,396.11,269,0.119,32,1.47,12.38
10/28/19,Enabled,[cuenta bancaria para jovenes],cuenta-digital_brand,Cuenta_bancaria_joven_exa,MXN,Eligible,Approved,,,0,0,0,0,0,0,0,0
11/11/19,Enabled,[cuenta bancaria para jovenes],cuenta-digital_brand,Cuenta_bancaria_joven_exa,MXN,Eligible,Approved,,,0,0,0,0,0,0,0,0
11/18/19,Enabled,[cuenta bancaria para jovenes],cuenta-digital_brand,Cuenta_bancaria_joven_exa,MXN,Eligible,Approved,,,10,0.1,12.85,1,0,0,12.85,0
12/9/19,Enabled,[cuenta bancaria para jovenes],cuenta-digital_brand,Cuenta_bancaria_joven_exa,MXN,Eligible,Approved,,,9,0.1111,25.08,1,0,0,25.08,0
12/30/19,Enabled,[cuenta bancaria para jovenes],cuenta-digital_brand,Cuenta_bancaria_joven_exa,MXN,Eligible,Approved,,,1,0,0,0,0,0,0,0
1/13/20,Enabled,[cuenta bancaria para jovenes],cuenta-digital_brand,Cuenta_bancaria_joven_exa,MXN,Eligible,Approved,,,13,0,0,0,0,0,0,0
11/4/19,Enabled, +cuenta +superdigital,cuenta-digital_brand,Cuenta_Digital_brand_bro,MXN,Eligible,Approved,,,0,0,0,0,0,0,0,0
11/25/19,Enabled, +cuenta +superdigital,cuenta-digital_brand,Cuenta_Digital_brand_bro,MXN,Eligible,Approved,,,2,0,0,0,0,0,0,0
12/9/19,Enabled, +cuenta +superdigital,cuenta-digital_brand,Cuenta_Digital_brand_bro,MXN,Eligible,Approved,,,9,0.2222,12.51,2,0,0,6.26,0
12/23/19,Enabled, +cuenta +superdigital,cuenta-digital_brand,Cuenta_Digital_brand_bro,MXN,Eligible,Approved,,,3,0,0,0,0,0,0,0
12/30/19,Enabled, +cuenta +superdigital,cuenta-digital_brand,Cuenta_Digital_brand_bro,MXN,Eligible,Approved,,,0,0,0,0,0,0,0,0
10/28/19,Enabled,super cuenta digital santander,cuenta-digital_brand,Cuenta_Digital_brand_bro,MXN,Eligible,Approved,,,0,0,0,0,0,0,0,0
11/18/19,Enabled,super cuenta digital santander,cuenta-digital_brand,Cuenta_Digital_brand_bro,MXN,Eligible,Approved,,,0,0,0,0,0,0,0,0
